fila_excel,linea,referencia,motivo
6859,6283,4595,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 4595 no es un id de referencia válido
6860,6283,4700,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 4700 no es un id de referencia válido
6861,6283,5490,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 5490 no es un id de referencia válido
6862,6283,5500,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 5500 no es un id de referencia válido
6863,6283,5582,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 5582 no es un id de referencia válido
6871,6283,4503,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 4503 no es un id de referencia válido
6872,6283,4505,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 4505 no es un id de referencia válido
6873,6283,4509,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 4509 no es un id de referencia válido
6879,6283,5000,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 5000 no es un id de referencia válido
6880,6283,5016,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 5016 no es un id de referencia válido
6881,6283,5033,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 5033 no es un id de referencia válido
6882,6283,5065,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 5065 no es un id de referencia válido
6883,6283,6220,línea 6283 no existe como codigo_proveedor ni como id (proveedor 654); y referencia 6220 no es un id de referencia válido
